location,avg_catch,catch_variability,min_catch,max_catch,stability_index,catch_trend_index,consumption_pressure
Angola,356018.3677193681,133675.92726605083,137952.77244247502,687725.4421260039,2.6632945437572793,3.0835042098087295,4.396255483181368
Argentina,805337.3777587687,548680.5794689725,67041.82699628,2016004.178357048,1.4677708814447112,18.662691443164324,618.955910577195
Australia,263871.3186415713,114024.97468170403,69766.45085033542,457742.663056228,2.314153713939925,3.6137360744389193,60.28205196891523
Bangladesh,556632.181489811,281722.2279216326,208233.826299294,1105760.7617775,1.9758191804611558,5.267759251181799,673.7643296366779
Belgium,65886.20272662304,23466.8474046544,30910.930080887,113213.72232409062,2.8076290602867777,0.4148170929894094,2751.390949043657
Brazil,746475.9810796244,266134.1875817811,187454.680639553,1142755.0975712289,2.804885715219273,4.743754979542304,7.407655671116643
Cambodia,112725.48318387115,45756.89368401777,36757.069936684,202896.110276954,2.4635737723438282,5.0127162038639455,26.025398337164088
Canada,1455610.2558323878,373351.22140529007,945282.4001966396,2268761.879497526,3.898769234913672,0.8533713286071907,17.87238712420701
Cape Verde,22062.731357182092,23128.49248605114,5220.777177727799,123546.53935344494,0.9539199915640066,23.66439615168851,3242.6426101217958
Channel Islands,3198.524832524568,3998.1076315530295,299.999999997,21911.086636578595,0.800009686403097,67.05023603060651,1663.0934101429116
Chile,3155004.1486830995,2185823.6483546346,187208.24151021,7144457.126809183,1.4433937298912516,7.049165924795265,0.4520503476659026
China,7009147.230616226,5380960.681179885,945664.782313586,17015601.33615469,1.3025828743055095,15.159755329602294,6.756936769775011
Colombia,74020.11575448606,37046.35789155185,4033.4848542382,158970.715154249,1.998040292413355,14.70793770852618,6.181447423129027
Croatia,52930.591952748335,22941.576829802703,20295.693991452,97701.86719192396,2.307190667207662,3.2247854953602406,2746.370586128778
Cuba,88620.46897004548,71834.18576397689,13385.610089521002,285594.857749516,1.2336809838872915,1.938006135015022,5.55103868611567
Denmark,1297054.267409669,586515.428623895,277532.296666776,2154494.5198446177,2.2114580522678957,2.5582783090454604,3.1843459401269003
Ecuador,570960.7560409913,445872.87498534954,58709.124124416,2152015.3102021315,1.2805460660950767,9.518265752526684,3.3331326593158197
El Salvador,61838.00760952131,33155.427301961776,2458.6411347410003,135104.26867609803,1.865094575507474,13.918970924798675,11.96121702650374
Eritrea,8662.766294729407,8999.185293214932,532.8605308000001,28598.678310406,0.9626167272342783,0.2583222024247708,0.49357753455380254
Faeroe Islands,363465.2873538381,136058.40355757257,96567.78082397996,706038.638437347,2.671391680705993,6.452239467221159,3.5114766667192066
Finland,103303.65842764151,43464.870673661004,22705.220802125303,182757.7638043946,2.3767161118057074,7.006902373826681,0.6971761902111031
France,749779.8890134563,196782.4907402799,312032.461429416,1074405.411327961,3.8101961520704646,2.3325870910848234,141.4130093312533
Georgia,68147.85470878654,64448.576499988194,9438.907527385998,274251.1243053899,1.0573989125857424,28.158136890921686,2238.9211238400358
Germany,724548.5788416233,460910.9074533504,248714.62459096,1785888.987955262,1.5719926934360002,0.40635211723296044,30.577900170936886
Greece,177110.6101802062,75343.93401111332,50924.26744367999,327451.7631926609,2.350695016191777,2.066220374013566,2947.9764560303715
Greenland,141064.31486833646,90366.65296996442,24355.99730033501,335502.1882803534,1.5610217954539343,11.326912477221237,129.03038756071274
Hong Kong,520270.9701142402,291478.2471131808,87467.69060835286,1013294.519769734,1.7849392716850645,7.588030735997878,57.07248622618761
Iceland,1268069.9880638334,477088.6881147039,416609.0000058391,2291509.828766366,2.6579334611240206,2.5077013406378525,1.9577080200389763
India,2071291.8745215016,1185208.931746549,591024.9250951709,4403712.422827378,1.7476175035815855,6.202145927943952,10.2226717633636
Indonesia,3014877.3032535105,1961396.5846615294,313653.979178748,6753765.9950826205,1.537107450288426,21.53253726532104,803.347007510324
Iran,297131.05215914996,135465.78500536998,159642.28490144803,781460.0413822478,2.193402947817203,4.244265353251016,96.5439130018318
Ireland,203552.5966000991,139431.8875448691,21685.6639253364,505049.01744686096,1.4598711972151706,11.290778224405724,11.329048531463634
Japan,7503374.78436037,2822100.165985597,3725079.414093224,13202971.266092798,2.658791092817173,1.0840517497455884,6.473011635170939
Libya,29661.616607391672,21862.200441074787,3364.430080206,71280.10846094799,1.3567534835909432,9.169782215816298,2252.0631293719634
Madagascar,90363.85161400482,49972.89781040373,14295.210737028,174594.39154005,1.8082571868624395,10.353408322896424,155.54133260426005
Malaysia,1472526.5528077756,799482.9152603081,192522.152768932,2500339.742376998,1.8418486808168095,11.899992206928518,12.072911167952856
Mauritania,254208.6757032671,225444.21769616439,13425.554099576597,1083598.0446436782,1.127590134273788,80.71160688092954,287.7087748742739
Mexico,1623875.774820803,672319.5238511934,477504.351318173,2661227.02038872,2.4153333604219718,5.273877518633483,5.734135145013101
Morocco,903917.656775694,523243.1690148933,261745.42772140304,1824451.3172840136,1.7275288246523968,5.20197321720702,5.338281771006113
Myanmar,678091.1191305078,417758.03327091556,189949.047790137,1447102.0602155176,1.623167156885686,6.906312442275623,21.746086396240926
Namibia,310610.37024429004,285235.5257433633,1337.7928179280002,840170.0710666677,1.0889610241739571,413.6497974839199,1526.1888182619452
New Zealand,273066.0947404404,144299.3769680952,75111.546043254,542496.804504887,1.8923580993756872,6.319827892213179,2572.308002200024
Norway,2512876.663298972,513545.35733658343,1483517.1796850588,3686959.504639677,4.89319322509619,1.5444344404746144,1.5326438728006482
Pakistan,609877.7565144566,284460.4656354864,94018.99256408596,1093002.5012555488,2.143980729104081,9.58189166626153,4.818692379578713
Panama,173248.74986827685,94437.2620473818,5968.676130848001,362542.607580988,1.8345380426356828,33.03671522436514,1.1255629077810505
Peru,6824632.262640249,4207915.94994374,82290.0,16640855.138625937,1.6218556510691462,95.1598802375302,0.19838986822671453
Poland,405681.05127487885,226426.9579949993,55729.48000015601,1158230.3605450522,1.791664097186866,9.748677957183196,20.698800641537208
Romania,146698.79399976486,144053.34603396783,2209.5645227443006,522437.6817228241,1.0183643631934327,1.472105115528808,2411.5293994715994
Russia,8661698.14073062,3145328.601169722,1961625.743474536,14074432.884026147,2.7538293256575495,4.206859108883048,17.729130856501992
Saint Pierre And Miquelon,19374.177753688044,14548.542374151411,729.488719869,60713.1800356036,1.3316920180340817,0.6243727423144801,4058.4735550160567
Saint Vincent And The Grenadines,5811.456325160238,7858.687635841248,796.910044749,49121.690163466,0.7394945052473941,3.900618061804615,4905.505011840105
Saudi Arabia,66219.71584945628,31360.22574956791,9261.6057659054,101590.548710881,2.111582881394553,10.84305579145493,8150.5750610339655
Singapore,13290.336855244175,7454.554532773843,2707.095796721,34566.884208,1.7828478947753885,0.3822136244211064,10.58509914348045
South Africa,1355861.819091087,910696.2063682317,442266.2713998901,4943732.29485464,1.4888190041969458,1.3761468197259838,0.7906188733658077
South Korea,2413898.800519956,1017500.0191529755,745229.085238675,4022580.499954576,2.3723820688764423,2.625554834842092,47.54755665523054
Spain,2247258.8809972084,540675.2308376655,1439731.5623237777,3343884.0554185696,4.156393252036978,1.064954468139151,99.94636776047774
Sweden,305739.1996215387,78491.78526570552,176769.8594949436,509327.7916321521,3.895174489745256,1.2033740115176257,1.9270518359829203
Taiwan,930429.0773233259,419640.06015626993,106670.09835718402,1520417.5911038544,2.21720747293965,9.169962590187453,117.20298450648016
Thailand,4542876.32948447,3206865.310169648,401836.50000448,9993223.807600642,1.4166096452751067,11.772086829006751,5.737964007670408
Tunisia,81769.6829307584,46823.68629450616,13618.090775708,154048.68122847797,1.746331598423349,8.944478556159883,4802.760492509044
Turkey,582775.336514684,296331.91378639854,124191.74116558804,1070885.817552592,1.966630354011614,4.010665794765815,3.459316397799395
Ukraine,499776.2300910577,297547.2696401231,135272.5135965448,1228513.2872594465,1.6796532218075,0.7349495428909522,22.622950792884055
United Arab Emirates,59198.38755752962,32615.586112517907,8451.6613884256,102905.85684958096,1.815033688289575,8.943922354259866,4243.676279134394
United Kingdom,1089799.182765153,219281.52751011404,673752.6805658818,1478858.5381530975,4.969863148709084,0.7245305296637146,19.764959086005288
United States,5471451.574279132,1364931.044648938,3651798.395233181,7578829.581619166,4.0085919327055795,1.7206268929307755,5.366425945912481
Unknown Fishing Country,417836.7983942709,252799.80911179917,19284.581470694004,923085.150802572,1.652836684736123,19.431078312013167,4394.154291775404
Uruguay,87363.34770293193,64483.309771980305,4996.248979595801,176376.31288646208,1.3548210848955773,15.360961110955884,56.66145560537721
Vanuatu,31610.064681684315,38245.9189852021,1488.671936248,152800.864099824,0.8264951011875203,30.533322892362726,26.91915144905986
Venezuela,316776.8590899784,176038.64131976847,75923.83072455198,714240.0710878738,1.7994734378491568,3.245143726264813,928.8612320779661
Vietnam,1615059.813706967,1189251.8812865715,95086.4640206448,3813248.9897946296,1.358046885710824,40.102963435118504,13.394857621366073
World,90625344.06020716,28480529.200829607,28127884.82041197,124287007.73760204,3.1820105385389867,3.887096644694487,4.535805015397551
Yemen,194789.58334980404,158038.88360298472,54500.98447160099,641458.7939708914,1.2325421371562084,5.762344627112143,418.0536570218372
