location,year,catch,direct_consumption,fishmeal_and_fish_oil,other_usage
Angola,1980,151511.71252365093,149835.00740728594,1371.264284774,305.440831591
Angola,1981,206361.15979613905,202855.89444749404,2887.397177155001,617.8681714899999
Angola,1982,190907.304357944,188741.579464067,1769.1942560999998,396.530637777
Angola,1983,191120.538016929,190856.736176209,171.866330164,91.935510556
Angola,1984,176213.47919870797,174452.98354684995,1431.932480195,328.56317166300005
Angola,1985,186254.02954596,183378.51220567492,2366.2938933210007,509.2234469639999
Angola,1986,172908.02756582302,170625.85120674403,1872.0909765930005,410.0853824860002
Angola,1987,198624.843949984,197405.998030998,971.098134394,247.747784592
Angola,1988,228122.13385005595,225699.12570642887,1973.01643907,449.99170455699993
Angola,1989,246859.19772911104,244723.85094357005,1725.9396979360006,409.407087605
Angola,1990,252668.25100894505,251179.95906234003,1182.156898998,306.135047607
Angola,1991,239898.55371154303,237705.31943140004,1777.6014322099998,415.632847933
Angola,1992,249890.182403052,247936.48938229,1574.80579875,378.8872220120001
Angola,1993,272055.109189688,270336.92168374,1370.90042467,347.287081278
Angola,1994,293677.35129906505,291124.28225740005,2064.966655517,488.1023861480001
Angola,1995,299909.01767020905,296210.57690778,3024.546683337,673.894079092
Angola,1996,326472.623160885,323871.5627431,2095.676056498,505.3843612870001
Angola,1997,343727.437910517,340795.602176442,2366.560187741,565.275546334
Angola,1998,389277.5970913581,384152.7761103,4196.319298873998,928.501682184
Angola,1999,406717.0203561999,400714.2436731299,4927.206347786002,1075.570335284
Angola,2000,441814.5672976418,433341.00789244287,6989.264040978999,1484.2953642199998
Angola,2001,464884.29231235,459227.35595018,4623.207019354,1033.729342816
Angola,2002,388628.16029255895,385800.4551488999,2270.552395567,557.1527480919998
Angola,2003,341012.95604442107,337507.75645772007,2857.3074066429995,647.8921800580001
Angola,2004,365688.699739749,361129.05229724,3734.792752041,824.8546904680003
Angola,2005,415225.77142700215,410678.9955869542,3712.00896539,834.7668746579999
Angola,2006,439691.507671628,434872.12141127005,3933.506149408001,885.8801109499999
Angola,2007,513805.7046623581,507670.6823181711,5014.513313219999,1120.5090309670002
Angola,2008,500804.7224678091,494807.52770917007,4898.967741110999,1098.2270175279996
Angola,2009,479758.450204816,473164.3637194759,5410.768211261999,1183.3182740780005
Angola,2010,467595.96998596506,461295.88903956406,5167.886112831,1132.19483357
Angola,2011,520968.5425780711,513941.7401659151,5761.404645589999,1265.3977665660002
Angola,2012,549363.666057938,541842.270935413,6167.883081161998,1353.5120413629998
Angola,2013,553017.0865262639,545210.2265991499,6408.113843607,1398.746083507
Angola,2014,584003.4561441181,576217.9951764501,6381.386639622,1404.0743280460003
Angola,2015,560601.7984069911,547685.963030411,10695.353800111,2220.481576469
Angola,2016,563300.917874011,562884.748222545,208.08482573300003,208.08482573300003
Angola,2017,557156.825686499,556748.008653865,204.408516317,204.408516317
Angola,2018,572022.2320163493,571630.107291062,196.0623626436,196.0623626436
Argentina,1950,67041.82699628,64602.48799627999,2423.9195,15.419499999999998
Argentina,1951,101968.67800221,99488.62622721,2457.3977625,22.6540125
Argentina,1952,111946.80399887,110058.59064887,1861.219175,26.994175
Argentina,1953,109957.626003582,107959.67375358198,1967.5073750000008,30.444875
Argentina,1954,117667.5145175654,115110.343567568,2526.0604749987,31.1104749987
Argentina,1955,119756.06939697644,116594.20543569804,3130.7890119017,31.0749493767
Argentina,1956,111304.2524987064,108956.829531707,2316.4893584997,30.9336084997
